"ID2","LONDD","LATDD","ELEVATION","Tann"
800,-150.667,66.633,283,NA
801,-150.7,66.75,533,NA
802,-150.7,66.75,533,NA
803,-150.7,66.767,366,NA
804,-150.717,66.8,316,NA
805,-150.717,66.8,316,NA
806,-150.717,66.8,316,NA
807,-150.5,66.9,366,NA
808,-150.5,66.9,366,NA
809,-150.5,66.9,366,NA
810,-150.417,66.95,383,NA
811,-150.417,66.95,383,NA
812,-150.417,66.95,383,NA
813,-150.333,67.017,466,NA
814,-150.333,67.017,466,NA
815,-150.333,67.017,466,NA
816,-150.367,67.067,366,NA
817,-150.367,67.067,366,NA
818,-150.367,67.067,366,NA
819,-150.333,67.017,316,NA
820,-150.333,67.017,316,NA
821,-150.333,67.017,316,NA
822,-150.167,67.267,333,NA
823,-150.167,67.267,333,NA
824,-150.083,67.45,383,NA
825,-150.083,67.45,383,NA
826,-150.083,67.45,383,NA
827,-149.433,67.467,383,-104
828,-149.433,67.467,383,-104
829,-149.433,67.467,383,-104
830,-149.367,67.483,400,-95
831,-149.367,67.483,400,-95
832,-149.833,67.533,400,-80
833,-149.833,67.533,400,-80
834,-149.833,67.533,400,-80
835,-149.733,67.551,400,-88
836,-149.733,67.551,400,-88
837,-149.783,67.6,433,-84
838,-149.783,67.6,433,-84
839,-149.75,67.617,466,-98
840,-149.75,67.617,466,-98
841,-149.75,67.617,466,-98
842,-149.733,67.067,500,-74
843,-149.733,67.067,500,-74
844,-149.733,67.067,500,-74
845,-149.25,67.717,566,-116
846,-149.25,67.717,566,-116
847,-149.25,67.717,566,-116
848,-128.083,64.65,1360,-103
849,-127.617,64.167,1150,-90
850,-127.483,65.017,580,-68
851,-80.367,43.233,260,NA
852,-149.283,67.767,600,-114
853,-149.283,67.767,600,-114
854,-149.833,67.8,616,-91
855,-149.833,67.8,616,-91
856,-149.833,67.8,616,-91
857,-149.833,67.917,666,-97
858,-149.833,67.917,666,-97
859,-149.833,67.917,666,-97
860,-149.833,67.933,700,-97
861,-149.833,67.933,700,-97
