ID2_W05v1_6,LONDD,LATDD,AbieEast,AbieWest,AcerEast,AcerWest,AlnuEast,AlnuWest,CeltEast,CeltWest,ChAmFlor,ChAmMid,CupXEast,CupXWest,FraxEast,FraxWest,Larix,LarixPse,PicEast,PicWest,PinEast,PinNE,PinSE,PinWest,QuerEast,QuerWest,TsugEast,TsugWest
42,-76.45,36.583,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
43,-70.35,45.85,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
44,-71.6593,44.1605,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
45,-80.25,44.367,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
46,-95.808,34.406,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,,0
47,-83.63,42.33,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
48,-93.75,49.583,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
49,-94.417,44.95,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
50,-73.476,46.276,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
51,-87.7305,44.0534,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
52,-60.392,46.067,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
53,-86.134,31.721,,,1,,1,,1,,,1,1,,1,,,0,,,1,,1,,1,,1,0
54,-100.467,64.717,,,1,,1,,,,,1,,,,,1,0,1,,1,1,,,1,,,0
55,-62.633,55.033,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
56,-78.997,37.985,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,1,,1,,1,0
57,-76.7,44.417,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
58,-53.133,47.322,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
59,-73.968,44.181,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
60,-73.979,42.242,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
61,-63.033,58.2,1,,1,,1,,,,,1,1,,1,,1,0,1,,1,1,,,1,,,0
62,-89.7,46.183,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
63,-74.433,40.383,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
64,-78.67,42.542,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
65,-86.53,41.67,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
66,-66.083,66.135,,,1,,1,,,,,1,,,,,,0,1,,1,1,,,,,,0
67,-81.767,47.317,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
