"sitenum","sitename","latdd","londd","altitude","poldiv1"
113,"67_RUW",0.34,29.86,317,"UGA"
114,"70_ELG",1.11,34.58,302,"UGA"
115,"70_RUW",0.34,29.86,317,"UGA"
116,"71_ELG",1.10,34.57,294,"UGA"
117,"72_RUW",0.34,29.86,317,"UGA"
118,"73_ELG",1.13,34.56,295,"UGA"
119,"73_RUW",0.35,29.87,345,"UGA"
120,"73_SS-15",3.97,36.15,290,"KEN"
121,"73CR_100-1",3.84,35.92,290,"KEN"
122,"73CR_100-10",3.71,36.19,290,"KEN"
123,"73CR_100-11",3.58,36.05,290,"KEN"
124,"73CR_100-12",3.28,36.33,290,"KEN"
125,"73CR_100-13",3.33,36.05,290,"KEN"
126,"73CR_100-2",3.85,36.30,290,"KEN"
127,"73CR_100-3",4.00,36.07,290,"KEN"
128,"73CR_100-4",4.07,35.98,290,"KEN"
129,"73CR_100-5",4.18,36.06,290,"KEN"
130,"73CR_100-7",4.30,36.12,290,"KEN"
131,"73CR_100-8",4.43,36.00,290,"KEN"
132,"74_ELG",1.10,34.55,317,"UGA"
133,"74-V1",4.21,36.23,290,"KEN"
134,"75_RUW",0.34,29.88,331,"UGA"
135,"76_RUW",0.35,29.89,298,"UGA"
136,"78_ELG",1.09,34.55,323,"UGA"
137,"79_RUW",0.34,29.93,247,"UGA"
138,"79TA-0",3.58,36.18,290,"KEN"
139,"79TC-0",2.78,36.54,290,"KEN"
140,"79TE-0",3.50,36.03,290,"KEN"
141,"79TF-0",3.50,35.92,290,"KEN"
142,"79TH-0",3.51,35.96,290,"KEN"
143,"79TI-0",3.49,35.91,290,"KEN"
144,"83_52VR",-2.13,36.04,385,"TZA"
145,"83_81VR",-2.00,36.00,26,"TZA"
146,"88_ELG",1.13,34.58,291,"UGA"
147,"89bGre",5.06,-5.21,14,"CIV"
148,"89Gre",5.06,-5.21,14,"CIV"
149,"9_RUW",0.38,29.86,321,"UGA"
150,"90_ELG",1.13,34.58,291,"UGA"
151,"90Gre",4.99,-5.23,19,"CIV"
152,"91_ELG",1.13,34.58,291,"UGA"
153,"91Gre",4.96,-5.23,23,"CIV"
154,"92_ELG",1.13,34.58,291,"UGA"
155,"92Gre",4.94,-5.23,2,"CIV"
156,"93Gre",4.91,-5.23,11,"CIV"
157,"94Gre",4.88,-5.23,21,"CIV"
158,"95Gre",4.87,-5.21,25,"CIV"
159,"96Gro",5.11,-5.11,6,"CIV"
160,"97Gro",5.07,-5.10,17,"CIV"
161,"98Gro",5.01,-5.13,19,"CIV"
162,"99Gro",4.99,-5.13,24,"CIV"
163,"A_14",5.40,-3.86,0,"CIV"
164,"A_18",5.34,-3.78,0,"CIV"
165,"A_22",5.40,-3.85,0,"CIV"
166,"A_6",5.41,-3.90,0,"CIV"
167,"A-Bur87",-12.43,49.23,309,"MDG"
168,"Adjavie",6.57,2.37,8,"BEN"
169,"Adjrahounve",6.42,2.21,0,"BEN"
170,"Agatogbo",6.40,1.93,390,"BEN"
